,genre,track_name,preview_url,location,filename,artist,artist_uri
0,rap rock,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap rock/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
1,rap metal,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap metal/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
2,nu metal,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
3,christian rock,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
4,christian alternative rock,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
5,canadian rock,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian rock/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
6,canadian metal,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian metal/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
7,canadian ccm,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian ccm/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
8,alternative metal,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
9,christian hard rock,Fight Alive,https://p.scdn.co/mp3-preview/a61619721feffa96c52fa20d4edc1907099c1ecb?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian hard rock/Fight Alive.mp3,Fight Alive.mp3,Our Hearts Hero,spotify:artist:4Q4tXypOL7ZN1MP6CqJyXc
10,rap rock,No Plan B,https://p.scdn.co/mp3-preview/b89eacc77203545ce8069bd71705464ff2589c84?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap rock/No Plan B.mp3,No Plan B.mp3,Manafest,spotify:artist:4uOFEWy9mIcvQbr03IbPcL
11,post-screamo,No Plan B,https://p.scdn.co/mp3-preview/b89eacc77203545ce8069bd71705464ff2589c84?cid=b82fb22d072d4120850c99225ff01644,./scrapes/post-screamo/No Plan B.mp3,No Plan B.mp3,Manafest,spotify:artist:4uOFEWy9mIcvQbr03IbPcL
12,christian rock,No Plan B,https://p.scdn.co/mp3-preview/b89eacc77203545ce8069bd71705464ff2589c84?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/No Plan B.mp3,No Plan B.mp3,Manafest,spotify:artist:4uOFEWy9mIcvQbr03IbPcL
13,christian music,No Plan B,https://p.scdn.co/mp3-preview/b89eacc77203545ce8069bd71705464ff2589c84?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian music/No Plan B.mp3,No Plan B.mp3,Manafest,spotify:artist:4uOFEWy9mIcvQbr03IbPcL
14,christian hip hop,No Plan B,https://p.scdn.co/mp3-preview/b89eacc77203545ce8069bd71705464ff2589c84?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian hip hop/No Plan B.mp3,No Plan B.mp3,Manafest,spotify:artist:4uOFEWy9mIcvQbr03IbPcL
15,christian alternative rock,No Plan B,https://p.scdn.co/mp3-preview/b89eacc77203545ce8069bd71705464ff2589c84?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/No Plan B.mp3,No Plan B.mp3,Manafest,spotify:artist:4uOFEWy9mIcvQbr03IbPcL
16,christian pop,Bring Me Down,https://p.scdn.co/mp3-preview/e56a9b609ae0ef0278eb053f8b569c1cbe989ea1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian pop/Bring Me Down.mp3,Bring Me Down.mp3,Matthew Parker,spotify:artist:0QT3cPPXMGYtTG3kN8Ez54
17,christian hip hop,Bring Me Down,https://p.scdn.co/mp3-preview/e56a9b609ae0ef0278eb053f8b569c1cbe989ea1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian hip hop/Bring Me Down.mp3,Bring Me Down.mp3,Matthew Parker,spotify:artist:0QT3cPPXMGYtTG3kN8Ez54
18,christian dance,Bring Me Down,https://p.scdn.co/mp3-preview/e56a9b609ae0ef0278eb053f8b569c1cbe989ea1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian dance/Bring Me Down.mp3,Bring Me Down.mp3,Matthew Parker,spotify:artist:0QT3cPPXMGYtTG3kN8Ez54
19,cedm,Bring Me Down,https://p.scdn.co/mp3-preview/e56a9b609ae0ef0278eb053f8b569c1cbe989ea1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/cedm/Bring Me Down.mp3,Bring Me Down.mp3,Matthew Parker,spotify:artist:0QT3cPPXMGYtTG3kN8Ez54
20,ccm,Bring Me Down,https://p.scdn.co/mp3-preview/e56a9b609ae0ef0278eb053f8b569c1cbe989ea1?cid=b82fb22d072d4120850c99225ff01644,./scrapes/ccm/Bring Me Down.mp3,Bring Me Down.mp3,Matthew Parker,spotify:artist:0QT3cPPXMGYtTG3kN8Ez54
21,christian rock,I Want to Live,https://p.scdn.co/mp3-preview/d29945272a810bcc0028bb1ed6ffeb26c6166959?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/I Want to Live.mp3,I Want to Live.mp3,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
22,christian music,I Want to Live,https://p.scdn.co/mp3-preview/d29945272a810bcc0028bb1ed6ffeb26c6166959?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian music/I Want to Live.mp3,I Want to Live.mp3,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
23,christian alternative rock,I Want to Live,https://p.scdn.co/mp3-preview/d29945272a810bcc0028bb1ed6ffeb26c6166959?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/I Want to Live.mp3,I Want to Live.mp3,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
24,alternative metal,I Want to Live,https://p.scdn.co/mp3-preview/d29945272a810bcc0028bb1ed6ffeb26c6166959?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/I Want to Live.mp3,I Want to Live.mp3,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
25,christian rock,First Love,https://p.scdn.co/mp3-preview/7d7bf8dcdfb0d3e41b38146e0ad76d2dfbb72ef3?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/First Love.mp3,First Love.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
26,christian music,First Love,https://p.scdn.co/mp3-preview/7d7bf8dcdfb0d3e41b38146e0ad76d2dfbb72ef3?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian music/First Love.mp3,First Love.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
27,christian metal,First Love,https://p.scdn.co/mp3-preview/7d7bf8dcdfb0d3e41b38146e0ad76d2dfbb72ef3?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian metal/First Love.mp3,First Love.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
28,christian alternative rock,First Love,https://p.scdn.co/mp3-preview/7d7bf8dcdfb0d3e41b38146e0ad76d2dfbb72ef3?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/First Love.mp3,First Love.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
29,ccm,First Love,https://p.scdn.co/mp3-preview/7d7bf8dcdfb0d3e41b38146e0ad76d2dfbb72ef3?cid=b82fb22d072d4120850c99225ff01644,./scrapes/ccm/First Love.mp3,First Love.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
30,hard alternative,Fading,https://p.scdn.co/mp3-preview/555b5708dbe032aaa65d50ac7d22f3dbdc2bfd64?cid=b82fb22d072d4120850c99225ff01644,./scrapes/hard alternative/Fading.mp3,Fading.mp3,Decyfer Down,spotify:artist:4C0vbj4LNsNUjH0Q9IFW3B
31,christian rock,Fading,https://p.scdn.co/mp3-preview/555b5708dbe032aaa65d50ac7d22f3dbdc2bfd64?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Fading.mp3,Fading.mp3,Decyfer Down,spotify:artist:4C0vbj4LNsNUjH0Q9IFW3B
32,christian alternative rock,Fading,https://p.scdn.co/mp3-preview/555b5708dbe032aaa65d50ac7d22f3dbdc2bfd64?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/Fading.mp3,Fading.mp3,Decyfer Down,spotify:artist:4C0vbj4LNsNUjH0Q9IFW3B
33,post-screamo,Surrender,https://p.scdn.co/mp3-preview/5728c60e330c257c2804c26326d906c558f559d8?cid=b82fb22d072d4120850c99225ff01644,./scrapes/post-screamo/Surrender.mp3,Surrender.mp3,Nine Lashes,spotify:artist:6L5kgEyFIlckHbMdRM2KXQ
34,gymcore,Surrender,https://p.scdn.co/mp3-preview/5728c60e330c257c2804c26326d906c558f559d8?cid=b82fb22d072d4120850c99225ff01644,./scrapes/gymcore/Surrender.mp3,Surrender.mp3,Nine Lashes,spotify:artist:6L5kgEyFIlckHbMdRM2KXQ
35,christian rock,Surrender,https://p.scdn.co/mp3-preview/5728c60e330c257c2804c26326d906c558f559d8?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Surrender.mp3,Surrender.mp3,Nine Lashes,spotify:artist:6L5kgEyFIlckHbMdRM2KXQ
36,christian alternative rock,Surrender,https://p.scdn.co/mp3-preview/5728c60e330c257c2804c26326d906c558f559d8?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/Surrender.mp3,Surrender.mp3,Nine Lashes,spotify:artist:6L5kgEyFIlckHbMdRM2KXQ
37,christian rock,Long Live the Rebels,https://p.scdn.co/mp3-preview/2af2d20c7380faa7491c01d4338695d0834fcd53?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Long Live the Rebels.mp3,Long Live the Rebels.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
38,christian music,Long Live the Rebels,https://p.scdn.co/mp3-preview/2af2d20c7380faa7491c01d4338695d0834fcd53?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian music/Long Live the Rebels.mp3,Long Live the Rebels.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
39,christian metal,Long Live the Rebels,https://p.scdn.co/mp3-preview/2af2d20c7380faa7491c01d4338695d0834fcd53?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian metal/Long Live the Rebels.mp3,Long Live the Rebels.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
40,christian alternative rock,Long Live the Rebels,https://p.scdn.co/mp3-preview/2af2d20c7380faa7491c01d4338695d0834fcd53?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/Long Live the Rebels.mp3,Long Live the Rebels.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
41,ccm,Long Live the Rebels,https://p.scdn.co/mp3-preview/2af2d20c7380faa7491c01d4338695d0834fcd53?cid=b82fb22d072d4120850c99225ff01644,./scrapes/ccm/Long Live the Rebels.mp3,Long Live the Rebels.mp3,Disciple,spotify:artist:4D9k73VomKTnVQ6ROnt8IO
42,christian rock,Set Fire,https://p.scdn.co/mp3-preview/f664a5bdab1130c818c517450a935095cdf5e0ca?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Set Fire.mp3,Set Fire.mp3,Embers In Ashes,spotify:artist:4xSSoOm2CcWXAp85huAZPd
43,christian rock,Will You Save Me?,https://p.scdn.co/mp3-preview/01c7d0ca395fe69b96019d0b858f5b774795c2d9?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Will You Save Me?.mp3,Will You Save Me?.mp3,The Birdsongs,spotify:artist:6uIELYnU5jg8XEwjSK0QrN
44,christian hard rock,Will You Save Me?,https://p.scdn.co/mp3-preview/01c7d0ca395fe69b96019d0b858f5b774795c2d9?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian hard rock/Will You Save Me?.mp3,Will You Save Me?.mp3,The Birdsongs,spotify:artist:6uIELYnU5jg8XEwjSK0QrN
45,christian rock,Salvation,https://p.scdn.co/mp3-preview/0e2749a9e7beb6e8b080b7752b2e3e39ee99dcf8?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Salvation.mp3,Salvation.mp3,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
46,christian music,Salvation,https://p.scdn.co/mp3-preview/0e2749a9e7beb6e8b080b7752b2e3e39ee99dcf8?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian music/Salvation.mp3,Salvation.mp3,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
47,christian alternative rock,Salvation,https://p.scdn.co/mp3-preview/0e2749a9e7beb6e8b080b7752b2e3e39ee99dcf8?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/Salvation.mp3,Salvation.mp3,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
48,alternative metal,Salvation,https://p.scdn.co/mp3-preview/0e2749a9e7beb6e8b080b7752b2e3e39ee99dcf8?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Salvation.mp3,Salvation.mp3,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
49,rap rock,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap rock/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
50,rap metal,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap metal/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
51,nu metal,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
52,christian rock,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
53,christian alternative rock,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
54,canadian rock,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian rock/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
55,canadian metal,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian metal/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
56,canadian ccm,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian ccm/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
57,alternative metal,Be Somebody,https://p.scdn.co/mp3-preview/ad355471839f1b5ef4d9dd70a4fcb0791e1712c7?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Be Somebody.mp3,Be Somebody.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
58,rap rock,Worlds Collide,https://p.scdn.co/mp3-preview/461112a3a2b16b1f7a299c65b399e3273aa9e5ae?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap rock/Worlds Collide.mp3,Worlds Collide.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
59,post-grunge,Worlds Collide,https://p.scdn.co/mp3-preview/461112a3a2b16b1f7a299c65b399e3273aa9e5ae?cid=b82fb22d072d4120850c99225ff01644,./scrapes/post-grunge/Worlds Collide.mp3,Worlds Collide.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
60,nu metal,Worlds Collide,https://p.scdn.co/mp3-preview/461112a3a2b16b1f7a299c65b399e3273aa9e5ae?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Worlds Collide.mp3,Worlds Collide.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
61,christian rock,Worlds Collide,https://p.scdn.co/mp3-preview/461112a3a2b16b1f7a299c65b399e3273aa9e5ae?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Worlds Collide.mp3,Worlds Collide.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
62,christian hard rock,Worlds Collide,https://p.scdn.co/mp3-preview/461112a3a2b16b1f7a299c65b399e3273aa9e5ae?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian hard rock/Worlds Collide.mp3,Worlds Collide.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
63,christian alternative rock,Worlds Collide,https://p.scdn.co/mp3-preview/461112a3a2b16b1f7a299c65b399e3273aa9e5ae?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/Worlds Collide.mp3,Worlds Collide.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
64,alternative metal,Worlds Collide,https://p.scdn.co/mp3-preview/461112a3a2b16b1f7a299c65b399e3273aa9e5ae?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Worlds Collide.mp3,Worlds Collide.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
65,rap rock,Psycho,https://p.scdn.co/mp3-preview/420817872d79e26f8ab2449f0109ba77f97704e2?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap rock/Psycho.mp3,Psycho.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
66,post-grunge,Psycho,https://p.scdn.co/mp3-preview/420817872d79e26f8ab2449f0109ba77f97704e2?cid=b82fb22d072d4120850c99225ff01644,./scrapes/post-grunge/Psycho.mp3,Psycho.mp3,12 Stones,spotify:artist:0DrXhci3WAyo0WJv1RBOG6
